motif,C_eff,C_eff_err
1,NaN,NaN
2,0.000667,0.000305
3,0.004647,0.000660
4,0.016473,0.001701
5,0.018958,0.001257
6,0.019003,0.001076
7,0.016424,0.000779
8,0.014873,0.000578
9,0.012556,0.000429
10,0.010474,0.000273
11,0.009249,0.000221
12,0.008001,0.000148
13,0.006868,0.000110
14,0.006029,0.000086
15,0.005342,0.000068
16,0.004776,0.000052
17,0.004393,0.000045
18,0.003909,0.000037
19,0.003606,0.000033
20,0.003319,0.000027
0-0,65.538482,25.306882
0-1,4.708674,0.276522
1-0,4.586480,0.303251
0-2,0.279376,0.013991
1-1,5.086711,0.510532
2-0,0.275270,0.013648
0-3,0.038389,0.002349
1-2,0.740348,0.047839
2-1,0.789132,0.048496
3-0,0.039415,0.002203
0-4,0.015563,0.000754
1-3,0.163560,0.005387
2-2,0.841446,0.039463
3-1,0.174414,0.005489
4-0,0.012697,0.000547
0-5,0.010256,0.000408
1-4,0.038079,0.001305
2-3,0.263157,0.010706
3-2,0.262596,0.011118
4-1,0.040731,0.001430
5-0,0.009285,0.000388
0-6,0.008298,0.000268
1-5,0.017360,0.000482
2-4,0.081316,0.002367
3-3,0.195228,0.006514
4-2,0.080917,0.002415
5-1,0.016500,0.000456
6-0,0.008296,0.000268
0-7,0.008442,0.000248
1-6,0.011247,0.000282
2-5,0.030034,0.000820
3-4,0.083431,0.002679
4-3,0.088292,0.003018
5-2,0.029325,0.000789
6-1,0.011023,0.000269
7-0,0.008486,0.000233
0-8,0.007597,0.000182
1-7,0.009746,0.000212
2-6,0.016322,0.000349
3-5,0.040570,0.000990
4-4,0.067158,0.001758
5-3,0.039381,0.000973
6-2,0.015787,0.000340
7-1,0.009561,0.000206
8-0,0.007422,0.000177
0-0-0,0.006115,0.000389
0-0-1,0.009437,0.000643
0-0-2,0.010653,0.000508
1-0-1,0.013101,0.000592
0-0-3,0.014494,0.000705
1-0-2,0.016936,0.000628
2-0-1,0.016174,0.000624
1-1-1,0.017233,0.000633
0-0-4,0.016820,0.000664
1-0-3,0.017142,0.000516
2-0-2,0.019037,0.000628
3-0-1,0.016705,0.000481
1-1-2,0.017240,0.000425
0-0-0-0,2.953427,0.061844
0-0-0-1,0.782328,0.023351
0-0-0-2,0.204510,0.005452
1-0-0-1,0.628317,0.020296
0-1-0-1,0.184087,0.003535
0-0-0-3,0.050548,0.001414
1-0-0-2,0.256933,0.008322
2-0-0-1,0.259886,0.007185
0-1-0-2,0.056068,0.001273
1-1-0-1,0.242371,0.005742
0-0-0-4,0.019973,0.000500
1-0-0-3,0.085554,0.002326
2-0-0-2,0.165093,0.005159
3-0-0-1,0.094547,0.002151
0-1-0-3,0.024026,0.000605
1-1-0-2,0.091904,0.001859
2-1-0-1,0.184001,0.004835
0-2-0-2,0.024697,0.000518
1-2-0-1,0.094851,0.001900
1-1-1-1,0.186835,0.003719
0-0-0-0-0,0.015923,0.000624
0-0-0-0-1,0.017927,0.000598
0-0-0-0-2,0.017936,0.000433
1-0-0-0-1,0.021357,0.000526
0-1-0-0-1,0.019663,0.000512
0-0-0-0-3,0.016459,0.000377
1-0-0-0-2,0.020398,0.000390
2-0-0-0-1,0.020418,0.000425
0-1-0-0-2,0.018274,0.000405
1-1-0-0-1,0.020688,0.000404
0-2-0-0-1,0.018359,0.000392
1-0-1-0-1,0.019602,0.000401
0-0-0-0-4,0.016484,0.000392
1-0-0-0-3,0.017303,0.000324
2-0-0-0-2,0.019129,0.000323
3-0-0-0-1,0.017556,0.000340
0-1-0-0-3,0.016039,0.000322
1-1-0-0-2,0.019091,0.000327
2-1-0-0-1,0.020792,0.000341
0-2-0-0-2,0.017954,0.000339
1-2-0-0-1,0.019607,0.000335
0-3-0-0-1,0.017194,0.000361
1-0-1-0-2,0.019706,0.000336
2-0-1-0-1,0.018820,0.000328
0-1-1-0-2,0.018732,0.000341
1-1-1-0-1,0.020907,0.000336
0-0-0-0-0-0,0.627647,0.017150
0-0-0-0-0-1,0.227019,0.005114
0-0-0-0-0-2,0.088546,0.001997
1-0-0-0-0-1,0.176309,0.004453
0-1-0-0-0-1,0.091226,0.001728
0-0-1-0-0-1,0.194676,0.004817
0-0-0-0-0-3,0.039300,0.000860
1-0-0-0-0-2,0.087805,0.002099
2-0-0-0-0-1,0.091660,0.002159
0-1-0-0-0-2,0.041043,0.000736
1-1-0-0-0-1,0.092725,0.001915
0-2-0-0-0-1,0.041161,0.000732
0-0-1-0-0-2,0.080619,0.001891
1-0-1-0-0-1,0.087391,0.001869
0-1-1-0-0-1,0.088430,0.002025
0-1-0-1-0-1,0.044729,0.000733
0-0-0-0-0-4,0.020356,0.000379
1-0-0-0-0-3,0.045338,0.000942
2-0-0-0-0-2,0.066838,0.001598
3-0-0-0-0-1,0.044858,0.000907
0-1-0-0-0-3,0.023162,0.000368
1-1-0-0-0-2,0.049463,0.000837
2-1-0-0-0-1,0.064441,0.001189
0-2-0-0-0-2,0.024349,0.000369
1-2-0-0-0-1,0.049100,0.000821
0-3-0-0-0-1,0.022537,0.000341
0-0-1-0-0-3,0.043563,0.000831
1-0-1-0-0-2,0.065148,0.001304
2-0-1-0-0-1,0.046335,0.000744
0-1-1-0-0-2,0.047109,0.000813
1-1-1-0-0-1,0.071007,0.001234
0-2-1-0-0-1,0.046568,0.000753
0-0-2-0-0-2,0.066336,0.001473
1-0-2-0-0-1,0.046367,0.000761
0-1-2-0-0-1,0.063335,0.001293
0-1-0-1-0-2,0.025635,0.000391
1-1-0-1-0-1,0.052019,0.000920
1-0-1-1-0-1,0.073883,0.001518
